code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	origins	origins_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	ingredients_text	traces	traces_tags	serving_size	no_nutriments	additives_n	additives	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	main_category	image_url	image_small_url	energy_100g	proteins_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fat_100g	saturated-fat_100g	monoinsaturated-fat_100g	polyinsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	trans-fat_100g	cholesterol_100g	fiber_100g	sodium_100g	alcohol_100g	vitamin-a_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	carbon-footprint_100g																																																																	
3182180032518	http://fr.openfoodfacts.org/produit/3182180032518	andre	1349002975	1363063053	100 Biscottes	100 Biscottes au froment	100 biscottes	Cellophane	Carton	Boite anti-choc	sachets fraicheurs	cellophane	carton	boite-anti-choc	sachets-fraicheurs	Pasquier	pasquier	Biscottes	Biscottes au froment	pains	biscottes	biscottes-au-froment	France	france							Saint-Estève	Carrefour	farine de blé (95%)	 matière grasse végétale (palme)	 sucre	 levure	 sel	 agent de traitement de la farine : acide ascorbique	Fruit à coque	lait	oeuf	sésame	soja	fruit-a-coque	lait	oeuf	sesame	soja	4 biscottes 32g		1		e300	1		huile-de-palme	0			Biscottes	http://fr.openfoodfacts.org/images/products/318/218/003/2518/front.5.400.jpg	http://fr.openfoodfacts.org/images/products/318/218/003/2518/front.5.200.jpg	1686	9.5	71	7			7.5	3.5							5	0.6																																																																										
3228850003522	http://fr.openfoodfacts.org/produit/3228850003522	nenesspatiss	1338109189	1347657122	100% mie brioché sans croûte	Pain de mie brioché sans croûte	285g	Sachet	sachet plastique transparent	sachet plastique	sachet	sachet-plastique-transparent	sachet-plastique	Harrys	harrys	Pain	Pain de mie	pains	pains-de-mie											Farine de blé 56.5%	 eau	 sucre	 oeufs frais	 beurre pâtissier	 matières grasses végétales	 sel	 levure	 arômes	 émulsifiant (glycérides d'acides gras	 diglycérides d'acides gras)	 antioxydant : acide ascorbique			2 tranches	 soit environ 57g		1		e300	0			1		huile-vegetale	Pains de mie	http://fr.openfoodfacts.org/images/products/322/885/000/3522/front.5.400.jpg	http://fr.openfoodfacts.org/images/products/322/885/000/3522/front.5.200.jpg	1244	7.5	48.2	9.4			7.5	4.2							2.5	0.396	0																																																																													
3263852912519	http://fr.openfoodfacts.org/produit/3263852912519	yann-l	1345035731	1345035925	12 biscuits fourrés à la framboise (55%) et nappés au chocolat (17%)	12 biscuits fourrés à la framboise	150g	carton	plastique	carton	plastique	leader price	leader-price	biscuits	biscuits					EMB 68056A	emb-68056a		brunstatt-haut-rhin-france	paris	france	franprix	Sucre	 sirop de glucose-fructose	 jus de framboise à base de jus concentré (14%)	 farine de blé	 pâte de cacao	 oeuf entier (6%)	 graisse végétale	 beurre de cacao	 stabilisant (sirop de sorbitol de blé)	 amidon de blé	 gélifiant (pectine de fruits)	 acidifiant (acide citrique)	 émulsifiants (E471	 lécithines de soja)	 poudres à lever	 carbonate acide ammonium	 carbonate acide de sodium	 citrate de sodium	 amidon de tapioca	 arôme	 sel	fruits à coque	Lait	fruits-a-coque	lait			7		e420	e440	e330	e471	e322	e500	e331	0			2		huile-vegetale	e471-mono-et-diglycerides-d-acides-gras-alimentaires	Biscuits			1617	3	69				10																																																																									
3263852912618	http://fr.openfoodfacts.org/produit/3263852912618	yann-l	1345035156	1353583637	12 biscuits fourrés à la marmelade d'orange	biscuits fourrés à la marmelade d'orange (55%) et nappés au chocolat (17%)	150g	plastique	carton	plastique	carton	Leader Price	leader-price	biscuits	biscuits					EMB 68056A	emb-68056a		brunstatt-haut-rhin-france	Paris	france	Franprix	Sucre	 sirop de glucose-fructose	 jus d'orange à base de jus concentré (11%)	 farine de blé	 pâte de cacao	 oeuf entier (6%)	 graisse végétale	 beurre de cacao	 stabilisant (sirop de sorbitol de blé)	 amidon de blé	 gélifiant (pectine de fruits)	 acidifiant (acide citrique)	 émulsifiants (E471	 lécithines de soja)	 poudres à lever	 carbonate acide ammonium	 carbonate acide de sodium	 citrate de sodium	 amidon de tapioca	 arôme	 sel	 chocolat	fruits à coque	lait	fruits-a-coque	lait			7		e420	e440	e330	e471	e322	e500	e331	0			2		huile-vegetale	e471-mono-et-diglycerides-d-acides-gras-alimentaires	Biscuits			1617	3	69				10																																																																								
3250391119110	http://fr.openfoodfacts.org/produit/3250391119110	europrimus	1340777724	1361733911	12 craquantes chocolat	bâtonets de céréales fourrés au chocolat	200g	Sachet plastique	carton	sachet-plastique	carton	Netto	netto	petit déjeuner	petit-dejeuner	Parkstone Bakeries	Poole	Dorset	BH12 4QW	Angleterre	parkstone-bakeries	poole	dorset	bh12-4qw	angleterre							Aiserey	france	Netto	Farine de blé 55%	 chocolat en poudre 20% (sucre	 cacao en poudre)	 sucre	 huile de colza partiellement hydrogénée	 lait écrémé en poudre	 huile de colza	 émulsifiants : E471	 lécithine de soja et carbonate de calcium	 sel	 farine de soja	 arôme	amande	noix de macadamia	noisette	amande	noix-de-macadamia	noisette			3		e471	e322	e170	0			1		e471-mono-et-diglycerides-d-acides-gras-alimentaires	Petit-déjeuner	http://fr.openfoodfacts.org/images/products/325/039/111/9110/front.4.400.jpg	http://fr.openfoodfacts.org/images/products/325/039/111/9110/front.4.200.jpg	1873	8	63	29			18	4.8							4.7	0.11																																																																				
3270160833245	http://fr.openfoodfacts.org/produit/3270160833245	stephane	1354644760	1359486724	12 crevettes apéritives	Crevettes décortiquées cuites enrobées et suregelées	180g	surgelés	surgeles	Picard	picard	Surgelés	Crevettes	plats préparés surgelés	Apéritif	produits-de-la-mer	surgeles	aperitif	plats-prepares	crustaces	crevettes	plats-prepares-surgeles	Thaïlande	thailande									Crevette décortiquée 55.8%	 farine de blé	 amande concassées 9.6%	 chapelure (farine de blé	 huile de colza	 eau	 sel)	 sucre	 sésame 1.7%	 amidon transformé de maïs	 noix de coco râpée 1.3% (contient conservateur : disulfite de sodium)	 amidon transformé de tapioca	 sel	 lait de coco en poudre 0.6%	 amidon de tapioca	 ail en poudre	 oignon en poudre	 acidifiants (acide citrique	 carbonate de sodium	 diacétate de sodium	 citrate de sodium)	 gluten de blé	 oignon	 citronnelle 0.2%	 poudres à lever (diphosphate disodique	 carbonate acide de sodium	 carbonate de sodium)	 poivre	 sauce de soja en poudre (sauce de soja	 eau	 blé	 sel	 maltodextrine)	 moutarde 0.1%	 lait entier en poudre	 arôme naturel de citron	 farine de soja	 huile de tournesol non hydrogénée	 amidon de maïs	 extrait de citronnelle 0.03%	 arôme naturel de wasabi	 émulsifiant : mono- et diglycérides d'acides gras d'origine végétale	 levure	 huile de son de riz non hydrogénée	 acidifiant : acide citrique	oeuf	poissons	arachide	céleri	sulfites	lupin	mollusques	oeuf	poissons	arachide	celeri	sulfites	lupin	mollusques			7		e223	e330	e500	e262	e331	e450	e471	0			1		e471-mono-et-diglycerides-d-acides-gras-alimentaires	Crustacés	http://fr.openfoodfacts.org/images/products/327/016/083/3245/front.6.400.jpg	http://fr.openfoodfacts.org/images/products/327/016/083/3245/front.6.200.jpg	1120	13.5	16.6	5.5			16.3	6.7							0.7	0.66																									
3257980251978	http://fr.openfoodfacts.org/produit/3257980251978	stephane	1333991575	1357489028	12 tranches de pain grillé complet	12 tranches de pain grillé complet	250 g			Nature Bio	Cora	nature-bio	cora	Pain	Pain grillé	Pain grillé complet	pains	pain-grille	pain-grille-complet			AB	Bio-européen	sans sucre ajouté	bio	bio-europeen	ab-agriculture-biologique	sans-sucre-ajoute	EMB 49246C	emb-49246c		ponts-de-ce-maine-et-loire-france			Farine de blé complet (92%) - levure - huile de palme — sel — gluten de blé - agent de traitement de la farine : acide ascorbique	Fruits à coque	lait	oeufs	sésame	fruits-a-coque	lait	oeufs	sesame	1 tranche (20	8g)		1		e300	1		huile-de-palme	0			Pains	http://fr.openfoodfacts.org/images/products/325/798/025/1978/front.8.400.jpg	http://fr.openfoodfacts.org/images/products/325/798/025/1978/front.8.200.jpg	1549	14	62	1.5			5	2							9	0.55																																																																														
20001797	http://fr.openfoodfacts.org/produit/20001797	manu1400	1346943888	1346944416	15 Bâtonnets de poisson	Filet tendre de colin d'Alaska (Theragra chalcogramma) pratiquement sans arêtes	 panné	 précuit	 portionnable	 surgelé.	450g	carton	surgélé	carton	surgele	OceanTrader	oceantrader	poissons	colin	Poisson pané	produits-de-la-mer	poissons	plats-prepares	colins	poissons-panes	Alaska	Océan Pacifique	N° FAO 61 67	alaska	ocean-pacifique	n-fao-61-67	sans colorant	sans exhausteur de goût	sans-exhausteur-de-gout	sans-colorant	DE HB-EFB 048 EG	de-hb-efb-048-eg					Filet de colin d'Alaska 65%	 farine de blé	 eau	 huile végétale	 amidon de pommes de terre	 sel	 épice			210 g		0			0			1		huile-vegetale	Poissons	http://fr.openfoodfacts.org/images/products/20001797/front.5.400.jpg	http://fr.openfoodfacts.org/images/products/20001797/front.5.200.jpg	764	13	15.2	1.2			7.7	1.1							1	0.3																																																																								
2563374	http://fr.openfoodfacts.org/produit/02563374	clemence	1351884798	1363742301	16 Mini Blinis		135g	plastique	plastique	Sélection Intermarché	Odyssee	selection-intermarche	odyssee	apéritifs	Blinis	aperitif	blinis											eau	 farine de blé (dont gluten)	 huile végétale (colza	 tournesol)	 crème fraiche	 poudre de lactosérum	 huile de coprah	 poudre d'oeufs eniters	 sel	 levure	 sucre. stabilisant:  sorbitol	 poudre à lever : carbonate acide de sodium	 arome	gluten	gluten	34g		2		e420	e500	0			1		huile-vegetale	Apéritif	http://fr.openfoodfacts.org/images/products/02563374/front.6.400.jpg	http://fr.openfoodfacts.org/images/products/02563374/front.6.200.jpg	1204	6.3	33.6	3			14.2	5.9							2.4	0.51																																																																															
3250390243632	http://fr.openfoodfacts.org/produit/3250390243632	clemence	1352033351	1358488340	16 mini blinis	16 mini blinis	135g			Odyssee	Sélection Intermarché	odyssee	selection-intermarche	Blinis	apéritif	aperitif	blinis	France	france									Eau	 farine de blé (dont gluten) 	 huile végétale (colza	 tournesol)	 crème fraîche	 poudre de lactosérum	 huile de coprah	 poudre d'oeufs entiers	 sel	 levure	 sucre	 stabilisant : sorbitol	 poudre à lever : carbonate acide de sodium	 arôme  			34g		2		e420	e500	0			1		huile-vegetale	Apéritif	http://fr.openfoodfacts.org/images/products/325/039/024/3632/front.4.400.jpg	http://fr.openfoodfacts.org/images/products/325/039/024/3632/front.4.200.jpg	1204	6.3	33.6	3			14.2	5.9							2.4	0.51																																																																														
